Player,Game,Won,Declarer Points,Trick Win Rate,Failed Contract,Decision Time (s)
Player 1,1,0,0,6.4,1,1.7
Player 1,2,0,47,6.5,0,1.8
Player 1,3,0,0,6.8,0,1.6
Player 1,4,0,0,6.7,0,1.6
Player 1,5,0,0,6.6,0,1.7
Player 1,6,0,0,6.6,0,1.8
Player 1,7,0,0,6.7,0,1.8
Player 1,8,0,68,6.8,0,1.9
Player 1,9,0,0,6.4,0,1.7
Player 1,10,0,0,7.1,0,1.8
Player 1,11,0,0,7.3,0,1.7
Player 1,12,0,0,6.5,0,1.7
Player 1,13,0,0,6.7,0,1.8
Player 1,14,0,0,6.5,0,2
Player 1,15,0,0,6,0,1.8
Player 1,16,0,0,6.6,0,1.8
Player 1,17,0,0,6.7,0,1.6
Player 1,18,1,0,6.3,1,1.8
Player 1,19,0,0,6.4,0,1.8
Player 1,20,1,0,6.3,0,1.8
Player 1,21,1,69,6.3,0,1.6
Player 1,22,1,0,6.7,0,1.8
Player 1,23,0,0,6.1,0,1.7
Player 1,24,0,0,6,0,1.7
Player 1,25,0,0,6.2,1,1.8
Player 1,26,0,0,6.5,1,1.7
Player 1,27,0,0,6.6,0,1.8
Player 1,28,0,67,6.6,1,1.8
Player 1,29,0,0,6.4,1,1.9
Player 1,30,0,0,6.6,0,1.7
Player 1,31,0,64,6.2,0,1.9
Player 1,32,0,0,6.4,0,1.7
Player 1,33,0,0,6.9,0,1.9
Player 1,34,0,0,6.3,0,1.8
Player 1,35,0,0,6.4,0,1.8
Player 1,36,0,0,6.9,0,1.8
Player 1,37,1,0,6,0,1.7
Player 1,38,0,0,5.8,1,1.7
Player 1,39,1,0,6.1,0,1.7
Player 1,40,0,0,6.5,0,1.8
Player 1,41,0,58,6.9,0,1.6
Player 1,42,0,64,6.5,0,1.8
Player 1,43,0,0,6.4,0,1.7
Player 1,44,0,0,6.7,0,1.9
Player 1,45,1,0,6.5,0,1.7
Player 1,46,0,0,6.2,1,1.9
Player 1,47,0,0,6.3,0,1.9
Player 1,48,1,0,6.9,0,1.8
Player 1,49,0,0,6.3,1,1.9
Player 1,50,0,73,6.5,1,1.8
Player 1,51,1,67,6.8,0,1.7
Player 1,52,0,0,6.9,1,1.6
Player 1,53,1,0,6.8,0,1.6
Player 1,54,0,0,6.8,0,1.8
Player 1,55,1,0,6,0,1.8
Player 1,56,0,77,6.2,0,1.9
Player 1,57,0,0,5.8,0,1.9
Player 1,58,1,79,6.8,1,1.9
Player 1,59,0,0,6.4,0,1.8
Player 1,60,1,0,6.3,0,1.8
Player 1,61,0,0,6.6,0,1.7
Player 1,62,0,0,7,0,1.9
Player 1,63,1,0,6.8,0,1.8
Player 1,64,0,0,5.9,0,1.8
Player 1,65,1,0,5.8,0,1.8
Player 1,66,0,60,6.3,1,2
Player 1,67,0,0,7,0,1.9
Player 1,68,1,67,6,0,1.8
Player 1,69,1,0,6.4,0,1.8
Player 1,70,0,0,6.6,1,1.7
Player 1,71,0,55,6.3,0,2
Player 1,72,0,70,6.6,1,1.8
Player 1,73,0,0,6.8,0,1.9
Player 1,74,0,63,6.4,0,1.6
Player 1,75,1,62,6.7,1,1.8
Player 1,76,1,0,6.4,0,1.9
Player 1,77,0,0,7.1,0,1.7
Player 1,78,0,0,6.4,0,1.8
Player 1,79,0,0,6.7,0,2
Player 1,80,0,0,5.9,0,2
Player 1,81,0,0,6.5,0,1.9
Player 1,82,0,71,6.5,0,1.8
Player 1,83,0,0,7,0,1.8
Player 1,84,0,0,6.9,0,1.7
Player 1,85,0,60,7.2,0,1.6
Player 1,86,0,0,6.8,0,1.8
Player 1,87,0,0,6.8,0,1.8
Player 1,88,0,0,6.4,1,1.8
Player 1,89,0,74,6.2,0,1.7
Player 1,90,0,0,6.4,0,1.9
Player 1,91,1,0,6.1,0,1.8
Player 1,92,0,70,6.9,0,1.7
Player 1,93,0,0,6.8,0,1.7
Player 1,94,0,52,6.8,0,1.6
Player 1,95,0,72,6.4,0,1.8
Player 1,96,0,69,6.9,0,1.7
Player 1,97,0,0,6.8,0,1.8
Player 1,98,0,0,6.6,1,1.8
Player 1,99,0,0,6.4,0,1.9
Player 1,100,0,0,6,0,1.8
Player 1,101,0,66,6.2,0,1.8
Player 1,102,0,0,6.1,0,1.8
Player 1,103,0,0,6.6,0,1.8
Player 1,104,1,0,6.4,0,1.8
Player 1,105,0,0,6.6,0,1.9
Player 1,106,1,0,6.4,0,1.8
Player 1,107,0,62,6.6,0,1.7
Player 1,108,1,65,7,0,1.9
Player 1,109,1,0,6.8,0,1.7
Player 1,110,1,0,5.8,0,1.8
Player 1,111,0,0,6.2,0,1.9
Player 1,112,0,0,6.7,0,1.9
Player 1,113,0,0,6.4,1,1.9
Player 1,114,1,0,6.5,1,1.9
Player 1,115,0,0,6.6,1,1.8
Player 1,116,1,0,6,0,1.8
Player 1,117,1,0,6.2,0,1.7
Player 1,118,0,0,6.7,0,1.8
Player 1,119,0,0,6.1,0,1.8
Player 1,120,0,57,7.2,0,1.6
Player 2,1,0,0,8.1,0,2.8
Player 2,2,0,0,8,0,2.8
Player 2,3,1,0,7.5,0,2.7
Player 2,4,0,0,7.7,0,2.9
Player 2,5,0,0,8.2,0,2.8
Player 2,6,0,0,7.8,0,2.8
Player 2,7,0,0,7.4,1,2.8
Player 2,8,1,0,7.8,0,2.7
Player 2,9,0,46,8,0,2.9
Player 2,10,0,0,8.1,0,2.8
Player 2,11,0,0,8.3,0,2.9
Player 2,12,0,35,8.3,0,2.9
Player 2,13,1,0,8,0,2.9
Player 2,14,0,48,7.5,0,2.9
Player 2,15,0,57,8.2,0,2.7
Player 2,16,0,52,8.4,0,2.9
Player 2,17,0,0,7.3,0,2.6
Player 2,18,1,46,8.3,0,2.6
Player 2,19,1,54,8.2,0,2.7
Player 2,20,0,40,7.4,0,2.8
Player 2,21,0,61,7.8,0,2.9
Player 2,22,0,0,8.6,0,2.5
Player 2,23,0,0,8.4,0,2.8
Player 2,24,0,48,7.9,0,2.9
Player 2,25,0,0,7.1,0,2.7
Player 2,26,0,0,7.7,0,2.9
Player 2,27,1,0,7.9,0,2.7
Player 2,28,0,0,7.1,0,2.6
Player 2,29,1,0,8.2,0,2.9
Player 2,30,1,44,7.4,0,2.7
Player 2,31,0,47,8.6,0,2.7
Player 2,32,1,35,7.7,0,2.8
Player 2,33,1,0,7.9,0,2.8
Player 2,34,1,0,8.3,0,2.9
Player 2,35,0,51,8.1,1,2.8
Player 2,36,0,45,7.9,0,2.8
Player 2,37,0,0,7.4,0,2.8
Player 2,38,0,0,8.4,0,2.8
Player 2,39,1,0,7.9,1,2.8
Player 2,40,1,0,8.3,0,2.8
Player 2,41,1,0,7.8,0,2.8
Player 2,42,0,0,8,0,2.9
Player 2,43,0,50,7.6,0,2.8
Player 2,44,1,52,8.2,0,2.7
Player 2,45,0,0,8.6,0,2.7
Player 2,46,1,55,7.6,0,2.8
Player 2,47,0,44,7.9,0,3
Player 2,48,0,0,7.7,0,2.7
Player 2,49,0,49,8.2,0,2.8
Player 2,50,1,0,8.5,0,3
Player 2,51,1,0,8,0,2.7
Player 2,52,1,52,7.9,0,2.9
Player 2,53,1,46,8.3,0,2.9
Player 2,54,0,0,7.7,0,2.7
Player 2,55,0,0,8.1,0,2.7
Player 2,56,1,0,7.9,0,2.9
Player 2,57,1,50,8.2,0,2.9
Player 2,58,0,59,8.2,0,2.8
Player 2,59,0,48,7.8,0,2.7
Player 2,60,0,0,8.1,0,2.9
Player 2,61,0,46,8.3,0,2.8
Player 2,62,1,0,7.4,0,2.7
Player 2,63,0,50,7.9,0,2.9
Player 2,64,1,41,7.9,0,2.8
Player 2,65,1,0,7.9,0,2.7
Player 2,66,0,0,7.9,0,2.8
Player 2,67,0,0,8.5,0,3
Player 2,68,1,64,7.6,0,2.8
Player 2,69,1,0,8.1,0,2.8
Player 2,70,0,56,8.2,0,3
Player 2,71,1,0,8.1,0,2.9
Player 2,72,0,65,8.2,0,2.8
Player 2,73,1,43,8,1,2.8
Player 2,74,1,0,7.8,0,2.8
Player 2,75,0,0,7.8,0,2.8
Player 2,76,0,0,8,0,2.8
Player 2,77,0,65,7.9,0,2.7
Player 2,78,0,0,8.2,0,2.7
Player 2,79,0,0,8.1,0,2.6
Player 2,80,0,0,8.4,0,2.7
Player 2,81,0,59,8,0,3
Player 2,82,0,0,7.8,0,3
Player 2,83,1,0,7.9,0,2.7
Player 2,84,0,45,8.5,0,2.7
Player 2,85,1,0,8.4,0,2.8
Player 2,86,0,53,8,0,2.9
Player 2,87,0,0,7.7,0,2.8
Player 2,88,0,0,8,0,2.8
Player 2,89,0,0,8.1,0,3
Player 2,90,1,0,7.9,0,2.8
Player 2,91,1,54,8.2,0,2.9
Player 2,92,1,0,7.4,0,2.8
Player 2,93,0,52,8.1,1,2.8
Player 2,94,0,43,8.1,0,2.9
Player 2,95,1,0,7.8,0,2.7
Player 2,96,0,42,8,0,2.9
Player 2,97,0,0,8.2,0,2.9
Player 2,98,1,0,8.3,0,2.8
Player 2,99,0,45,7.8,0,2.8
Player 2,100,0,45,7.5,0,2.8
